"T","Distance","Radius","FreeRadius","X","Y","Z"
0.000,0.000,0.866,0.866,216.793,183.219,168.892
0.001,0.142,0.938,0.938,216.878,183.279,168.795
0.002,0.281,1.008,1.008,216.960,183.337,168.699
0.003,0.413,1.076,1.076,217.038,183.390,168.607
0.004,0.534,1.140,1.140,217.110,183.436,168.521
0.005,0.642,1.199,1.199,217.173,183.473,168.442
0.006,0.733,1.252,1.252,217.226,183.498,168.372
0.006,0.805,1.298,1.298,217.267,183.510,168.313
0.007,0.858,1.335,1.335,217.292,183.506,168.268
0.008,0.897,1.362,1.362,217.301,183.483,168.237
0.009,0.944,1.378,1.378,217.291,183.439,168.223
0.010,1.017,1.382,1.382,217.261,183.373,168.227
0.011,1.127,1.373,1.373,217.207,183.281,168.252
0.012,1.277,1.353,1.353,217.128,183.162,168.299
0.013,1.468,1.324,1.324,217.025,183.016,168.367
0.014,1.693,1.289,1.289,216.901,182.849,168.453
0.015,1.945,1.251,1.251,216.762,182.665,168.553
0.016,2.218,1.211,1.211,216.609,182.468,168.664
0.017,2.505,1.172,1.172,216.447,182.262,168.783
0.018,2.800,1.136,1.136,216.281,182.052,168.906
0.018,3.095,1.106,1.106,216.112,181.843,169.030
0.019,3.385,1.084,1.084,215.946,181.639,169.150
0.020,3.663,1.072,1.072,215.785,181.444,169.265
0.021,3.921,1.073,1.073,215.635,181.262,169.371
0.022,4.153,1.083,1.083,215.498,181.099,169.463
0.023,4.353,1.102,1.102,215.377,180.959,169.539
0.024,4.516,1.127,1.127,215.277,180.844,169.597
0.025,4.645,1.157,1.157,215.195,180.753,169.635
0.026,4.742,1.189,1.189,215.130,180.684,169.656
0.027,4.812,1.221,1.221,215.080,180.635,169.659
0.028,4.863,1.251,1.251,215.043,180.603,169.645
0.029,4.906,1.277,1.277,215.017,180.586,169.615
0.030,4.956,1.298,1.298,215.001,180.582,169.568
0.030,5.018,1.310,1.310,214.992,180.588,169.507
0.031,5.096,1.314,1.314,214.990,180.603,169.431
0.032,5.188,1.310,1.310,214.991,180.624,169.341
0.033,5.295,1.299,1.299,214.995,180.649,169.237
0.034,5.415,1.282,1.282,214.999,180.675,169.120
0.035,5.546,1.261,1.261,215.003,180.701,168.991
0.036,5.688,1.236,1.236,215.003,180.726,168.852
0.037,5.837,1.209,1.209,215.001,180.749,168.704
0.038,5.993,1.181,1.181,214.996,180.770,168.550
0.039,6.151,1.154,1.154,214.987,180.790,168.393
0.040,6.312,1.128,1.128,214.974,180.808,168.234
0.041,6.471,1.104,1.104,214.955,180.824,168.077
0.042,6.627,1.084,1.084,214.932,180.839,167.923
0.042,6.779,1.067,1.067,214.902,180.852,167.775
0.043,6.924,1.054,1.054,214.866,180.863,167.635
0.044,7.061,1.045,1.045,214.822,180.872,167.505
0.045,7.189,1.040,1.040,214.772,180.880,167.388
0.046,7.306,1.039,1.039,214.713,180.885,167.287
0.047,7.415,1.041,1.041,214.646,180.888,167.202
0.048,7.516,1.048,1.048,214.572,180.890,167.131
0.049,7.614,1.060,1.060,214.493,180.891,167.074
0.050,7.709,1.075,1.075,214.410,180.892,167.029
0.051,7.801,1.096,1.096,214.325,180.892,166.993
0.052,7.893,1.120,1.120,214.238,180.893,166.965
0.053,7.982,1.148,1.148,214.151,180.895,166.943
0.054,8.068,1.179,1.179,214.066,180.897,166.926
0.054,8.151,1.211,1.211,213.985,180.902,166.912
0.055,8.230,1.244,1.244,213.908,180.909,166.899
0.056,8.303,1.277,1.277,213.836,180.919,166.886
0.057,8.370,1.309,1.309,213.772,180.931,166.870
0.058,8.432,1.340,1.340,213.717,180.947,166.850
0.059,8.488,1.367,1.367,213.669,180.967,166.826
0.060,8.542,1.392,1.392,213.629,180.989,166.799
0.061,8.594,1.412,1.412,213.594,181.014,166.769
0.062,8.645,1.428,1.428,213.564,181.041,166.737
0.063,8.696,1.439,1.439,213.538,181.069,166.704
0.064,8.747,1.448,1.448,213.514,181.099,166.670
0.065,8.798,1.453,1.453,213.491,181.128,166.636
0.066,8.848,1.457,1.457,213.468,181.158,166.602
0.066,8.897,1.459,1.459,213.444,181.188,166.571
0.067,8.946,1.461,1.461,213.417,181.216,166.541
0.068,8.995,1.463,1.463,213.387,181.243,166.513
0.069,9.044,1.465,1.465,213.353,181.268,166.489
0.070,9.095,1.468,1.468,213.313,181.292,166.469
0.071,9.148,1.473,1.473,213.269,181.314,166.451
0.072,9.202,1.481,1.481,213.222,181.337,166.435
0.073,9.260,1.490,1.490,213.172,181.361,166.420
0.074,9.319,1.500,1.500,213.121,181.388,166.405
0.075,9.380,1.512,1.512,213.070,181.417,166.389
0.076,9.444,1.525,1.525,213.019,181.452,166.372
0.077,9.510,1.538,1.538,212.970,181.492,166.353
0.078,9.580,1.551,1.551,212.923,181.538,166.330
0.078,9.654,1.564,1.564,212.880,181.592,166.304
0.079,9.734,1.576,1.576,212.841,181.655,166.272
0.080,9.822,1.588,1.588,212.808,181.727,166.235
0.081,9.919,1.598,1.598,212.781,181.810,166.192
0.082,10.026,1.607,1.607,212.759,181.902,166.143
0.083,10.139,1.615,1.615,212.741,182.001,166.091
0.084,10.257,1.622,1.622,212.727,182.105,166.038
0.085,10.378,1.628,1.628,212.714,182.213,165.984
0.086,10.498,1.633,1.633,212.702,182.321,165.932
0.087,10.616,1.638,1.638,212.689,182.428,165.884
0.088,10.730,1.642,1.642,212.674,182.532,165.840
0.089,10.837,1.646,1.646,212.656,182.630,165.804
0.090,10.935,1.650,1.650,212.633,182.722,165.776
0.090,11.024,1.654,1.654,212.605,182.804,165.758
0.091,11.103,1.658,1.658,212.569,182.875,165.753
0.092,11.175,1.662,1.662,212.526,182.932,165.761
0.093,11.247,1.666,1.666,212.474,182.976,165.783
0.094,11.322,1.671,1.671,212.415,183.008,165.818
0.095,11.403,1.675,1.675,212.352,183.029,165.863
0.096,11.490,1.678,1.678,212.285,183.042,165.918
0.097,11.583,1.682,1.682,212.216,183.049,165.979
0.098,11.680,1.685,1.685,212.146,183.051,166.047
0.099,11.779,1.687,1.687,212.078,183.050,166.118
0.100,11.878,1.688,1.688,212.012,183.048,166.192
0.101,11.974,1.689,1.689,211.950,183.047,166.266
0.102,12.066,1.689,1.689,211.895,183.049,166.340
0.102,12.152,1.687,1.687,211.846,183.055,166.410
0.103,12.230,1.684,1.684,211.807,183.067,166.477
0.104,12.300,1.680,1.680,211.778,183.088,166.537
0.105,12.365,1.674,1.674,211.757,183.116,166.592
0.106,12.428,1.666,1.666,211.744,183.151,166.642
0.107,12.491,1.656,1.656,211.736,183.194,166.687
0.108,12.556,1.644,1.644,211.731,183.244,166.729
0.109,12.623,1.630,1.630,211.728,183.300,166.767
0.110,12.695,1.612,1.612,211.725,183.362,166.802
0.111,12.770,1.592,1.592,211.720,183.429,166.835
0.112,12.850,1.569,1.569,211.711,183.502,166.866
0.113,12.935,1.544,1.544,211.697,183.580,166.897
0.114,13.025,1.516,1.516,211.675,183.662,166.926
0.114,13.121,1.487,1.487,211.644,183.749,166.956
0.115,13.225,1.458,1.458,211.603,183.839,166.986
0.116,13.336,1.430,1.430,211.550,183.932,167.017
0.117,13.454,1.402,1.402,211.489,184.027,167.048
0.118,13.576,1.376,1.376,211.420,184.123,167.079
0.119,13.701,1.353,1.353,211.346,184.219,167.111
0.120,13.827,1.333,1.333,211.269,184.313,167.143
0.121,13.951,1.317,1.317,211.191,184.405,167.174
0.122,14.073,1.306,1.306,211.113,184.493,167.205
0.123,14.190,1.299,1.299,211.037,184.577,167.235
0.124,14.299,1.296,1.296,210.966,184.654,167.264
0.125,14.399,1.295,1.295,210.900,184.725,167.292
0.126,14.489,1.297,1.297,210.843,184.787,167.319
0.127,14.564,1.300,1.300,210.795,184.841,167.344
0.127,14.626,1.304,1.304,210.758,184.884,167.368
0.128,14.675,1.308,1.308,210.730,184.919,167.389
0.129,14.714,1.311,1.311,210.709,184.945,167.406
0.130,14.743,1.312,1.312,210.691,184.965,167.419
0.131,14.766,1.311,1.311,210.675,184.979,167.427
0.132,14.785,1.307,1.307,210.658,184.988,167.428
0.133,14.808,1.299,1.299,210.637,184.994,167.422
0.134,14.838,1.290,1.290,210.610,184.997,167.407
0.135,14.881,1.277,1.277,210.575,184.999,167.383
0.136,14.938,1.263,1.263,210.529,185.000,167.350
0.137,15.013,1.247,1.247,210.469,185.002,167.305
