"T","Distance","Radius","FreeRadius","X","Y","Z"
0.000,0.000,1.775,1.775,242.185,205.725,208.694
0.001,0.020,1.782,1.782,242.187,205.706,208.688
0.003,0.040,1.789,1.789,242.189,205.688,208.681
0.004,0.059,1.796,1.796,242.192,205.670,208.674
0.006,0.078,1.803,1.803,242.196,205.653,208.666
0.007,0.097,1.809,1.809,242.200,205.637,208.657
0.009,0.116,1.814,1.814,242.205,205.623,208.647
0.010,0.134,1.818,1.818,242.212,205.610,208.635
0.011,0.153,1.821,1.821,242.220,205.599,208.622
0.013,0.173,1.823,1.823,242.230,205.590,208.608
0.014,0.194,1.825,1.825,242.242,205.583,208.591
0.016,0.218,1.826,1.826,242.256,205.580,208.572
0.017,0.245,1.827,1.827,242.272,205.579,208.551
0.018,0.274,1.827,1.827,242.290,205.581,208.527
0.020,0.306,1.828,1.828,242.310,205.584,208.503
0.021,0.338,1.829,1.829,242.329,205.588,208.478
0.023,0.369,1.831,1.831,242.349,205.592,208.454
0.024,0.400,1.832,1.832,242.368,205.596,208.430
0.026,0.429,1.834,1.834,242.385,205.599,208.407
0.027,0.454,1.835,1.835,242.401,205.601,208.387
0.028,0.475,1.837,1.837,242.413,205.599,208.370
0.030,0.493,1.837,1.837,242.422,205.595,208.356
0.031,0.507,1.837,1.837,242.428,205.587,208.346
0.033,0.520,1.837,1.837,242.428,205.575,208.340
0.034,0.535,1.835,1.835,242.427,205.560,208.338
0.035,0.550,1.833,1.833,242.423,205.545,208.337
0.037,0.563,1.830,1.830,242.421,205.532,208.335
0.038,0.573,1.825,1.825,242.421,205.524,208.331
0.040,0.582,1.819,1.819,242.426,205.522,208.324
0.041,0.600,1.812,1.812,242.436,205.528,208.311
0.043,0.632,1.803,1.803,242.455,205.545,208.291
0.044,0.683,1.795,1.795,242.483,205.575,208.261
0.045,0.755,1.788,1.788,242.523,205.621,208.221
0.047,0.853,1.784,1.784,242.576,205.683,208.168
0.048,0.978,1.784,1.784,242.643,205.765,208.102
0.050,1.128,1.788,1.788,242.724,205.863,208.022
0.051,1.299,1.798,1.798,242.816,205.976,207.931
0.052,1.488,1.815,1.815,242.916,206.100,207.831
0.054,1.690,1.840,1.840,243.023,206.232,207.722
0.055,1.902,1.874,1.874,243.135,206.370,207.606
0.057,2.120,1.916,1.916,243.248,206.511,207.485
0.058,2.339,1.968,1.968,243.361,206.652,207.360
0.060,2.557,2.031,2.031,243.472,206.791,207.233
0.061,2.770,2.104,2.104,243.578,206.923,207.105
0.062,2.973,2.188,2.188,243.678,207.047,206.978
0.064,3.165,2.279,2.279,243.769,207.160,206.854
0.065,3.344,2.373,2.373,243.851,207.263,206.732
0.067,3.509,2.466,2.466,243.924,207.354,206.616
0.068,3.661,2.555,2.555,243.989,207.435,206.504
0.070,3.800,2.634,2.634,244.046,207.506,206.399
0.071,3.925,2.701,2.701,244.094,207.568,206.302
0.072,4.035,2.753,2.753,244.134,207.620,206.214
0.074,4.131,2.792,2.792,244.167,207.664,206.135
0.075,4.212,2.820,2.820,244.192,207.699,206.067
0.077,4.277,2.840,2.840,244.209,207.727,206.010
0.078,4.326,2.853,2.853,244.220,207.746,205.967
0.079,4.358,2.861,2.861,244.223,207.759,205.937
0.081,4.378,2.868,2.868,244.221,207.766,205.919
0.082,4.388,2.875,2.875,244.216,207.767,205.910
0.084,4.394,2.881,2.881,244.210,207.766,205.909
0.085,4.403,2.887,2.887,244.204,207.762,205.913
0.087,4.412,2.891,2.891,244.201,207.757,205.920
0.088,4.421,2.893,2.893,244.202,207.752,205.928
0.089,4.431,2.892,2.892,244.209,207.749,205.933
0.091,4.446,2.889,2.889,244.225,207.749,205.935
0.092,4.473,2.882,2.882,244.251,207.752,205.931
0.094,4.515,2.874,2.874,244.290,207.761,205.918
0.095,4.574,2.866,2.866,244.342,207.777,205.895
0.096,4.649,2.861,2.861,244.406,207.800,205.863
0.098,4.739,2.861,2.861,244.481,207.830,205.824
0.099,4.840,2.867,2.867,244.563,207.869,205.780
0.101,4.950,2.882,2.882,244.652,207.916,205.734
0.102,5.068,2.908,2.908,244.744,207.973,205.687
0.104,5.191,2.944,2.944,244.837,208.039,205.643
0.105,5.318,2.986,2.986,244.931,208.116,205.602
0.106,5.448,3.033,3.033,245.021,208.203,205.567
0.108,5.581,3.082,3.082,245.106,208.301,205.541
0.109,5.717,3.130,3.130,245.184,208.411,205.525
0.111,5.857,3.174,3.174,245.253,208.533,205.521
0.112,6.002,3.213,3.213,245.314,208.665,205.528
0.113,6.151,3.246,3.246,245.366,208.803,205.545
0.115,6.301,3.273,3.273,245.410,208.944,205.569
0.116,6.451,3.295,3.295,245.448,209.086,205.599
0.118,6.597,3.312,3.312,245.479,209.225,205.633
0.119,6.738,3.325,3.325,245.506,209.359,205.668
0.121,6.870,3.335,3.335,245.527,209.484,205.703
0.122,6.989,3.341,3.341,245.544,209.598,205.737
0.123,7.093,3.345,3.345,245.558,209.696,205.767
0.125,7.178,3.348,3.348,245.569,209.777,205.792
0.126,7.242,3.349,3.349,245.578,209.838,205.809
0.128,7.286,3.350,3.350,245.584,209.880,205.820
0.129,7.314,3.351,3.351,245.589,209.907,205.827
0.130,7.330,3.353,3.353,245.591,209.921,205.830
0.132,7.336,3.356,3.356,245.590,209.927,205.832
0.133,7.340,3.362,3.362,245.587,209.927,205.834
0.135,7.348,3.368,3.368,245.580,209.923,205.837
0.136,7.360,3.374,3.374,245.570,209.921,205.844
0.138,7.377,3.380,3.380,245.556,209.921,205.854
0.139,7.402,3.386,3.386,245.539,209.928,205.871
0.140,7.439,3.389,3.389,245.518,209.945,205.896
0.142,7.490,3.391,3.391,245.493,209.975,205.929
0.143,7.555,3.391,3.391,245.464,210.015,205.971
0.145,7.630,3.388,3.388,245.433,210.064,206.019
0.146,7.714,3.382,3.382,245.401,210.120,206.072
0.148,7.803,3.375,3.375,245.367,210.181,206.128
0.149,7.894,3.366,3.366,245.334,210.243,206.186
0.150,7.984,3.356,3.356,245.302,210.304,206.243
0.152,8.071,3.344,3.344,245.272,210.363,206.300
0.153,8.151,3.330,3.330,245.244,210.416,206.353
0.155,8.221,3.317,3.317,245.220,210.462,206.401
0.156,8.280,3.303,3.303,245.201,210.498,206.443
0.157,8.324,3.291,3.291,245.187,210.522,206.477
0.159,8.356,3.281,3.281,245.178,210.535,206.505
0.160,8.379,3.274,3.274,245.173,210.541,206.527
0.162,8.398,3.270,3.270,245.173,210.542,206.545
0.163,8.414,3.271,3.271,245.176,210.540,206.561
0.165,8.431,3.273,3.273,245.183,210.538,206.576
0.166,8.449,3.276,3.276,245.192,210.539,206.592
0.167,8.471,3.276,3.276,245.203,210.545,206.610
0.169,8.500,3.272,3.272,245.215,210.559,206.632
0.170,8.540,3.262,3.262,245.229,210.584,206.660
0.172,8.593,3.244,3.244,245.243,210.622,206.694
0.173,8.663,3.215,3.215,245.258,210.676,206.736
0.174,8.749,3.179,3.179,245.273,210.744,206.786
0.176,8.848,3.136,3.136,245.287,210.825,206.844
0.177,8.960,3.089,3.089,245.302,210.915,206.907
0.179,9.080,3.040,3.040,245.318,211.012,206.977
0.180,9.208,2.992,2.992,245.334,211.114,207.051
0.182,9.340,2.946,2.946,245.352,211.220,207.129
0.183,9.474,2.905,2.905,245.369,211.325,207.210
0.184,9.609,2.870,2.870,245.388,211.429,207.294
0.186,9.741,2.838,2.838,245.409,211.528,207.379
0.187,9.870,2.811,2.811,245.430,211.621,207.465
0.189,9.992,2.788,2.788,245.453,211.705,207.550
0.190,10.108,2.768,2.768,245.477,211.780,207.636
0.191,10.218,2.750,2.750,245.504,211.845,207.720
0.193,10.322,2.735,2.735,245.533,211.902,207.803
0.194,10.422,2.721,2.721,245.564,211.949,207.884
0.196,10.516,2.708,2.708,245.599,211.988,207.964
0.197,10.607,2.695,2.695,245.636,212.018,208.041
0.199,10.695,2.681,2.681,245.678,212.039,208.115
0.200,10.780,2.664,2.664,245.723,212.051,208.187
0.201,10.864,2.645,2.645,245.772,212.055,208.254
0.203,10.948,2.623,2.623,245.826,212.051,208.318
0.204,11.032,2.598,2.598,245.884,212.039,208.378
0.206,11.119,2.571,2.571,245.946,212.020,208.435
0.207,11.207,2.546,2.546,246.010,211.995,208.491
0.209,11.297,2.524,2.524,246.075,211.968,208.548
0.210,11.388,2.506,2.506,246.138,211.938,208.607
0.211,11.480,2.496,2.496,246.197,211.909,208.670
0.213,11.572,2.494,2.494,246.252,211.881,208.738
0.214,11.666,2.500,2.500,246.301,211.857,208.815
0.216,11.763,2.512,2.512,246.342,211.837,208.900
0.217,11.865,2.528,2.528,246.373,211.825,208.997
0.218,11.977,2.545,2.545,246.393,211.821,209.107
0.220,12.101,2.559,2.559,246.400,211.826,209.230
0.221,12.238,2.570,2.570,246.396,211.842,209.367
0.223,12.387,2.573,2.573,246.384,211.866,209.513
0.224,12.545,2.567,2.567,246.365,211.897,209.667
0.226,12.710,2.554,2.554,246.343,211.935,209.826
0.227,12.877,2.533,2.533,246.321,211.979,209.986
0.228,13.045,2.505,2.505,246.300,212.026,210.145
0.230,13.210,2.471,2.471,246.283,212.077,210.301
0.231,13.368,2.430,2.430,246.274,212.130,210.451
0.233,13.519,2.385,2.385,246.274,212.184,210.591
0.234,13.659,2.335,2.335,246.287,212.237,210.720
0.235,13.787,2.283,2.283,246.314,212.290,210.834
0.237,13.907,2.231,2.231,246.355,212.342,210.934
0.238,14.021,2.181,2.181,246.409,212.392,211.021
0.240,14.131,2.135,2.135,246.472,212.441,211.096
0.241,14.238,2.097,2.097,246.543,212.489,211.160
0.243,14.344,2.067,2.067,246.619,212.537,211.215
0.244,14.448,2.048,2.048,246.700,212.584,211.262
0.245,14.551,2.037,2.037,246.783,212.631,211.302
0.247,14.651,2.032,2.032,246.865,212.678,211.336
0.248,14.748,2.030,2.030,246.944,212.724,211.365
0.250,14.841,2.030,2.030,247.020,212.770,211.391
0.251,14.927,2.028,2.028,247.089,212.817,211.415
0.252,15.008,2.022,2.022,247.152,212.862,211.439
0.254,15.084,2.012,2.012,247.208,212.905,211.466
0.255,15.154,1.996,1.996,247.258,212.943,211.497
0.257,15.221,1.978,1.978,247.302,212.975,211.537
0.258,15.289,1.959,1.959,247.341,212.998,211.586
0.260,15.361,1.942,1.942,247.374,213.012,211.649
0.261,15.443,1.927,1.927,247.403,213.015,211.727
0.262,15.542,1.917,1.917,247.426,213.004,211.822
0.264,15.663,1.913,1.913,247.445,212.978,211.938
0.265,15.809,1.916,1.916,247.460,212.935,212.077
0.267,15.984,1.926,1.926,247.471,212.875,212.241
0.268,16.185,1.943,1.943,247.479,212.797,212.427
0.270,16.407,1.968,1.968,247.482,212.707,212.629
0.271,16.642,2.000,2.000,247.482,212.606,212.842
0.272,16.885,2.039,2.039,247.479,212.499,213.059
0.274,17.128,2.085,2.085,247.473,212.388,213.276
0.275,17.366,2.137,2.137,247.464,212.277,213.486
0.277,17.592,2.192,2.192,247.452,212.169,213.684
0.278,17.800,2.246,2.246,247.438,212.068,213.865
0.279,17.982,2.298,2.298,247.420,211.976,214.021
0.281,18.133,2.343,2.343,247.401,211.897,214.149
0.282,18.248,2.379,2.379,247.379,211.833,214.242
0.284,18.328,2.404,2.404,247.357,211.786,214.302
0.285,18.379,2.418,2.418,247.335,211.753,214.335
0.287,18.409,2.421,2.421,247.316,211.733,214.345
0.288,18.428,2.417,2.417,247.300,211.724,214.339
0.289,18.448,2.407,2.407,247.290,211.725,214.321
0.291,18.474,2.393,2.393,247.288,211.735,214.298
0.292,18.504,2.377,2.377,247.294,211.751,214.273
0.294,18.538,2.360,2.360,247.311,211.773,214.253
0.295,18.579,2.345,2.345,247.340,211.799,214.242
0.296,18.630,2.332,2.332,247.383,211.826,214.247
