"T","Distance","Radius","FreeRadius","X","Y","Z"
0.000,0.000,1.415,1.415,220.626,192.844,175.782
0.001,0.045,1.387,1.387,220.622,192.845,175.827
0.002,0.087,1.361,1.361,220.619,192.846,175.869
0.003,0.123,1.336,1.336,220.617,192.848,175.905
0.004,0.152,1.315,1.315,220.617,192.853,175.933
0.004,0.171,1.297,1.297,220.620,192.861,175.950
0.005,0.184,1.285,1.285,220.627,192.872,175.954
0.006,0.208,1.280,1.280,220.638,192.888,175.940
0.007,0.250,1.282,1.282,220.654,192.909,175.908
0.008,0.314,1.292,1.292,220.676,192.935,175.853
0.009,0.405,1.312,1.312,220.704,192.969,175.774
0.010,0.524,1.342,1.342,220.740,193.009,175.667
0.011,0.675,1.384,1.384,220.782,193.058,175.531
0.012,0.855,1.436,1.436,220.832,193.113,175.368
0.013,1.056,1.497,1.497,220.888,193.175,175.185
0.013,1.273,1.565,1.565,220.948,193.242,174.987
0.014,1.500,1.637,1.637,221.011,193.312,174.780
0.015,1.732,1.712,1.712,221.076,193.384,174.570
0.016,1.962,1.788,1.788,221.141,193.458,174.362
0.017,2.184,1.862,1.862,221.206,193.532,174.163
0.018,2.392,1.933,1.933,221.269,193.604,173.978
0.019,2.582,1.998,1.998,221.329,193.674,173.812
0.020,2.746,2.057,2.057,221.384,193.740,173.673
0.021,2.880,2.106,2.106,221.433,193.801,173.564
0.021,2.984,2.145,2.145,221.476,193.856,173.486
0.022,3.061,2.174,2.174,221.511,193.902,173.435
0.023,3.114,2.195,2.195,221.537,193.938,173.405
0.024,3.145,2.209,2.209,221.553,193.960,173.393
0.025,3.154,2.215,2.215,221.558,193.968,173.394
0.026,3.169,2.215,2.215,221.552,193.959,173.404
0.027,3.205,2.210,2.210,221.534,193.932,173.417
0.028,3.264,2.201,2.201,221.501,193.883,173.430
0.029,3.350,2.188,2.188,221.455,193.812,173.437
0.029,3.465,2.173,2.173,221.393,193.715,173.435
0.030,3.612,2.155,2.155,221.314,193.592,173.419
0.031,3.791,2.136,2.136,221.221,193.443,173.388
0.032,3.996,2.117,2.117,221.115,193.273,173.343
0.033,4.220,2.097,2.097,221.000,193.088,173.287
0.034,4.457,2.077,2.077,220.881,192.893,173.224
0.035,4.700,2.058,2.058,220.761,192.694,173.155
0.036,4.941,2.040,2.040,220.643,192.497,173.082
0.037,5.174,2.023,2.023,220.530,192.306,173.010
0.038,5.393,2.007,2.007,220.427,192.127,172.939
0.038,5.589,1.994,1.994,220.337,191.965,172.873
0.039,5.756,1.984,1.984,220.263,191.827,172.814
0.040,5.888,1.977,1.977,220.209,191.717,172.765
0.041,5.981,1.973,1.973,220.177,191.639,172.727
0.042,6.041,1.971,1.971,220.162,191.587,172.701
0.043,6.073,1.972,1.972,220.160,191.559,172.685
0.044,6.087,1.974,1.974,220.168,191.549,172.679
0.045,6.101,1.976,1.976,220.181,191.553,172.683
0.046,6.124,1.977,1.977,220.195,191.566,172.696
0.046,6.154,1.977,1.977,220.206,191.583,172.718
0.047,6.189,1.974,1.974,220.208,191.601,172.747
0.048,6.229,1.968,1.968,220.199,191.614,172.785
0.049,6.280,1.958,1.958,220.174,191.619,172.829
0.050,6.349,1.943,1.943,220.129,191.610,172.879
0.051,6.441,1.921,1.921,220.060,191.584,172.936
0.052,6.557,1.894,1.894,219.971,191.543,172.997
0.053,6.692,1.861,1.861,219.865,191.489,173.061
0.054,6.842,1.825,1.825,219.747,191.424,173.127
0.054,7.002,1.785,1.785,219.620,191.353,173.194
0.055,7.168,1.744,1.744,219.489,191.276,173.259
0.056,7.334,1.701,1.701,219.357,191.197,173.323
0.057,7.497,1.659,1.659,219.228,191.118,173.382
0.058,7.650,1.618,1.618,219.107,191.042,173.436
0.059,7.789,1.579,1.579,218.997,190.971,173.484
0.060,7.908,1.543,1.543,218.903,190.909,173.524
0.061,8.005,1.511,1.511,218.828,190.857,173.555
0.062,8.079,1.484,1.484,218.771,190.816,173.578
0.063,8.131,1.461,1.461,218.731,190.785,173.592
0.063,8.165,1.443,1.443,218.706,190.763,173.601
0.064,8.183,1.428,1.428,218.695,190.749,173.603
0.065,8.189,1.416,1.416,218.696,190.744,173.601
0.066,8.200,1.406,1.406,218.706,190.746,173.596
0.067,8.222,1.399,1.399,218.724,190.754,173.588
0.068,8.251,1.393,1.393,218.748,190.768,173.579
0.069,8.287,1.388,1.388,218.776,190.787,173.569
0.070,8.326,1.384,1.384,218.807,190.810,173.561
0.071,8.369,1.379,1.379,218.839,190.837,173.554
0.071,8.411,1.374,1.374,218.870,190.866,173.549
0.072,8.452,1.369,1.369,218.898,190.895,173.546
0.073,8.487,1.363,1.363,218.922,190.922,173.545
0.074,8.516,1.357,1.357,218.940,190.943,173.545
0.075,8.533,1.351,1.351,218.951,190.957,173.546
0.076,8.539,1.345,1.345,218.952,190.963,173.548
0.077,8.551,1.339,1.339,218.943,190.956,173.550
0.078,8.581,1.333,1.333,218.921,190.935,173.553
0.079,8.632,1.327,1.327,218.885,190.899,173.556
0.079,8.708,1.322,1.322,218.833,190.843,173.558
0.080,8.811,1.317,1.317,218.764,190.767,173.561
0.081,8.940,1.313,1.313,218.678,190.671,173.562
0.082,9.090,1.309,1.309,218.579,190.559,173.564
0.083,9.256,1.306,1.306,218.468,190.434,173.565
0.084,9.434,1.303,1.303,218.350,190.302,173.566
0.085,9.617,1.301,1.301,218.227,190.166,173.567
0.086,9.800,1.298,1.298,218.103,190.031,173.567
0.087,9.979,1.295,1.295,217.981,189.900,173.569
0.088,10.147,1.293,1.293,217.864,189.779,173.570
0.088,10.301,1.289,1.289,217.755,189.671,173.572
0.089,10.434,1.286,1.286,217.658,189.581,173.574
0.090,10.541,1.281,1.281,217.575,189.512,173.577
0.091,10.622,1.276,1.276,217.508,189.467,173.580
0.092,10.681,1.270,1.270,217.453,189.444,173.583
0.093,10.726,1.263,1.263,217.409,189.440,173.584
0.094,10.767,1.255,1.255,217.370,189.452,173.582
0.095,10.812,1.247,1.247,217.333,189.477,173.576
0.096,10.864,1.239,1.239,217.296,189.513,173.564
0.096,10.927,1.230,1.230,217.255,189.556,173.547
0.097,11.000,1.221,1.221,217.206,189.604,173.522
0.098,11.085,1.212,1.212,217.145,189.654,173.488
0.099,11.184,1.202,1.202,217.070,189.703,173.445
0.100,11.301,1.193,1.193,216.977,189.748,173.391
0.101,11.438,1.185,1.185,216.864,189.787,173.325
0.102,11.592,1.176,1.176,216.733,189.819,173.249
0.103,11.761,1.168,1.168,216.588,189.845,173.166
0.104,11.941,1.161,1.161,216.434,189.864,173.076
0.104,12.128,1.155,1.155,216.273,189.876,172.981
0.105,12.317,1.149,1.149,216.111,189.882,172.885
0.106,12.505,1.145,1.145,215.950,189.881,172.788
0.107,12.687,1.142,1.142,215.795,189.873,172.693
0.108,12.859,1.141,1.141,215.650,189.858,172.601
0.109,13.019,1.142,1.142,215.518,189.836,172.514
0.110,13.161,1.144,1.144,215.403,189.808,172.435
0.111,13.283,1.148,1.148,215.309,189.772,172.365
0.112,13.387,1.154,1.154,215.236,189.732,172.303
0.113,13.477,1.163,1.163,215.181,189.687,172.249
0.113,13.554,1.172,1.172,215.142,189.640,172.201
0.114,13.623,1.183,1.183,215.118,189.592,172.157
0.115,13.686,1.195,1.195,215.106,189.546,172.117
0.116,13.745,1.206,1.206,215.104,189.502,172.079
0.117,13.800,1.217,1.217,215.111,189.462,172.041
0.118,13.852,1.228,1.228,215.125,189.429,172.002
0.119,13.903,1.237,1.237,215.143,189.403,171.962
0.120,13.954,1.244,1.244,215.163,189.387,171.918
0.121,14.007,1.249,1.249,215.184,189.381,171.870
0.121,14.064,1.251,1.251,215.203,189.386,171.817
0.122,14.124,1.250,1.250,215.220,189.398,171.761
0.123,14.187,1.246,1.246,215.233,189.417,171.702
0.124,14.252,1.240,1.240,215.240,189.439,171.642
0.125,14.317,1.232,1.232,215.239,189.463,171.581
0.126,14.382,1.221,1.221,215.231,189.486,171.520
0.127,14.447,1.210,1.210,215.212,189.505,171.461
0.128,14.512,1.197,1.197,215.183,189.520,171.405
0.129,14.581,1.182,1.182,215.140,189.526,171.352
0.129,14.655,1.167,1.167,215.083,189.523,171.304
0.130,14.741,1.152,1.152,215.010,189.509,171.261
0.131,14.841,1.136,1.136,214.922,189.482,171.224
0.132,14.952,1.121,1.121,214.821,189.445,171.191
0.133,15.074,1.105,1.105,214.712,189.400,171.161
0.134,15.204,1.091,1.091,214.596,189.351,171.133
0.135,15.337,1.077,1.077,214.477,189.298,171.105
0.136,15.470,1.064,1.064,214.358,189.246,171.076
0.137,15.600,1.052,1.052,214.242,189.196,171.045
0.138,15.724,1.042,1.042,214.132,189.151,171.010
0.138,15.839,1.033,1.033,214.031,189.112,170.970
0.139,15.944,1.026,1.026,213.942,189.083,170.923
0.140,16.036,1.021,1.021,213.868,189.067,170.869
0.141,16.121,1.019,1.019,213.812,189.063,170.806
0.142,16.204,1.019,1.019,213.771,189.069,170.734
0.143,16.291,1.022,1.022,213.744,189.083,170.653
0.144,16.384,1.027,1.027,213.728,189.100,170.562
0.145,16.487,1.037,1.037,213.723,189.119,170.462
0.146,16.598,1.050,1.050,213.726,189.135,170.352
0.146,16.719,1.066,1.066,213.735,189.147,170.232
0.147,16.851,1.087,1.087,213.750,189.150,170.101
0.148,16.993,1.113,1.113,213.767,189.142,169.960
0.149,17.148,1.143,1.143,213.785,189.119,169.808
0.150,17.316,1.178,1.178,213.802,189.079,169.645
0.151,17.500,1.219,1.219,213.817,189.019,169.472
0.152,17.698,1.266,1.266,213.829,188.942,169.291
0.153,17.905,1.317,1.317,213.836,188.851,169.105
0.154,18.118,1.374,1.374,213.838,188.748,168.918
0.154,18.333,1.433,1.433,213.833,188.638,168.734
0.155,18.546,1.494,1.494,213.821,188.522,168.555
0.156,18.753,1.556,1.556,213.801,188.405,168.385
0.157,18.951,1.618,1.618,213.771,188.289,168.228
0.158,19.136,1.679,1.679,213.731,188.177,168.087
0.159,19.304,1.736,1.736,213.680,188.073,167.964
0.160,19.455,1.790,1.790,213.617,187.979,167.864
0.161,19.588,1.839,1.839,213.541,187.899,167.789
0.162,19.710,1.882,1.882,213.454,187.834,167.736
0.163,19.824,1.918,1.918,213.359,187.782,167.699
0.163,19.934,1.947,1.947,213.259,187.745,167.673
0.164,20.042,1.971,1.971,213.155,187.722,167.652
0.165,20.149,1.990,1.990,213.051,187.713,167.631
0.166,20.253,2.004,2.004,212.950,187.717,167.604
0.167,20.358,2.015,2.015,212.855,187.736,167.565
0.168,20.467,2.024,2.024,212.767,187.768,167.510
0.169,20.586,2.031,2.031,212.691,187.814,167.431
0.170,20.723,2.037,2.037,212.628,187.873,167.324
0.171,20.888,2.042,2.042,212.581,187.945,167.183
0.171,21.083,2.048,2.048,212.550,188.030,167.010
0.172,21.302,2.056,2.056,212.534,188.124,166.813
0.173,21.541,2.064,2.064,212.531,188.225,166.597
0.174,21.792,2.075,2.075,212.537,188.331,166.369
0.175,22.048,2.087,2.087,212.552,188.440,166.138
0.176,22.303,2.100,2.100,212.574,188.548,165.909
0.177,22.548,2.114,2.114,212.600,188.655,165.689
0.178,22.777,2.129,2.129,212.629,188.757,165.486
0.179,22.983,2.145,2.145,212.658,188.851,165.306
0.179,23.157,2.162,2.162,212.686,188.937,165.156
0.180,23.294,2.180,2.180,212.710,189.010,165.044
0.181,23.392,2.199,2.199,212.731,189.071,164.970
0.182,23.456,2.218,2.218,212.746,189.119,164.929
0.183,23.495,2.237,2.237,212.757,189.153,164.915
0.184,23.519,2.256,2.256,212.764,189.174,164.922
0.185,23.543,2.274,2.274,212.767,189.183,164.945
0.186,23.575,2.289,2.289,212.765,189.178,164.977
0.187,23.615,2.303,2.303,212.759,189.161,165.012
0.188,23.661,2.312,2.312,212.749,189.130,165.045
0.188,23.712,2.318,2.318,212.735,189.087,165.069
0.189,23.772,2.319,2.319,212.716,189.031,165.079
0.190,23.845,2.314,2.314,212.694,188.962,165.068
0.191,23.937,2.303,2.303,212.668,188.880,165.034
0.192,24.049,2.285,2.285,212.638,188.787,164.980
0.193,24.179,2.259,2.259,212.605,188.682,164.911
0.194,24.325,2.227,2.227,212.569,188.567,164.830
0.195,24.483,2.192,2.192,212.531,188.441,164.741
0.196,24.651,2.153,2.153,212.490,188.306,164.650
0.196,24.826,2.114,2.114,212.448,188.162,164.559
0.197,25.005,2.076,2.076,212.405,188.010,164.475
0.198,25.187,2.040,2.040,212.361,187.851,164.399
0.199,25.370,2.008,2.008,212.316,187.685,164.338
0.200,25.553,1.982,1.982,212.272,187.512,164.295
0.201,25.738,1.964,1.964,212.227,187.334,164.273
0.202,25.927,1.955,1.955,212.183,187.151,164.270
0.203,26.121,1.957,1.957,212.138,186.962,164.282
0.204,26.322,1.969,1.969,212.093,186.768,164.305
0.204,26.529,1.992,1.992,212.048,186.568,164.337
0.205,26.742,2.023,2.023,212.003,186.363,164.373
0.206,26.960,2.062,2.062,211.956,186.153,164.410
0.207,27.182,2.109,2.109,211.909,185.939,164.444
0.208,27.409,2.161,2.161,211.861,185.719,164.472
0.209,27.640,2.218,2.218,211.812,185.494,164.489
0.210,27.875,2.280,2.280,211.762,185.264,164.494
0.211,28.115,2.345,2.345,211.710,185.030,164.481
0.212,28.359,2.412,2.412,211.658,184.794,164.453
0.213,28.604,2.480,2.480,211.605,184.558,164.412
0.213,28.848,2.550,2.550,211.554,184.325,164.361
0.214,29.087,2.619,2.619,211.505,184.099,164.302
0.215,29.318,2.687,2.687,211.459,183.882,164.238
0.216,29.538,2.754,2.754,211.416,183.677,164.171
0.217,29.743,2.819,2.819,211.378,183.486,164.105
0.218,29.929,2.881,2.881,211.345,183.314,164.042
0.219,30.093,2.940,2.940,211.319,183.163,163.985
0.220,30.231,2.995,2.995,211.300,183.035,163.935
0.221,30.340,3.045,3.045,211.290,182.934,163.897
0.221,30.420,3.090,3.090,211.287,182.859,163.870
0.222,30.475,3.129,3.129,211.290,182.807,163.852
0.223,30.509,3.162,3.162,211.300,182.775,163.843
0.224,30.529,3.188,3.188,211.313,182.761,163.839
0.225,30.545,3.209,3.209,211.329,182.762,163.840
0.226,30.567,3.224,3.224,211.347,182.775,163.844
0.227,30.596,3.234,3.234,211.365,182.797,163.850
0.228,30.630,3.240,3.240,211.383,182.826,163.856
0.229,30.666,3.241,3.241,211.399,182.857,163.859
0.229,30.701,3.238,3.238,211.411,182.890,163.860
0.230,30.733,3.232,3.232,211.420,182.921,163.855
0.231,30.762,3.222,3.222,211.423,182.947,163.844
0.232,30.789,3.209,3.209,211.424,182.968,163.827
0.233,30.817,3.194,3.194,211.422,182.983,163.804
0.234,30.847,3.176,3.176,211.419,182.991,163.775
0.235,30.883,3.156,3.156,211.416,182.990,163.739
0.236,30.926,3.134,3.134,211.415,182.981,163.697
0.237,30.979,3.111,3.111,211.416,182.960,163.648
0.238,31.044,3.085,3.085,211.421,182.929,163.592
0.238,31.121,3.059,3.059,211.431,182.885,163.530
0.239,31.212,3.031,3.031,211.447,182.827,163.460
0.240,31.320,3.002,3.002,211.471,182.755,163.384
0.241,31.444,2.972,2.972,211.502,182.669,163.301
0.242,31.582,2.941,2.941,211.540,182.570,163.212
0.243,31.730,2.910,2.910,211.583,182.462,163.120
0.244,31.886,2.878,2.878,211.631,182.348,163.026
0.245,32.046,2.846,2.846,211.681,182.229,162.931
0.246,32.207,2.814,2.814,211.732,182.108,162.838
0.246,32.365,2.781,2.781,211.784,181.989,162.747
0.247,32.518,2.749,2.749,211.834,181.873,162.661
0.248,32.662,2.717,2.717,211.881,181.764,162.581
0.249,32.793,2.685,2.685,211.925,181.663,162.508
0.250,32.909,2.653,2.653,211.963,181.575,162.445
0.251,33.006,2.622,2.622,211.995,181.500,162.391
0.252,33.087,2.591,2.591,212.021,181.437,162.347
0.253,33.154,2.561,2.561,212.042,181.386,162.310
0.254,33.210,2.531,2.531,212.061,181.344,162.277
0.254,33.258,2.502,2.502,212.077,181.310,162.248
0.255,33.300,2.475,2.475,212.093,181.283,162.221
0.256,33.339,2.448,2.448,212.108,181.260,162.192
0.257,33.379,2.423,2.423,212.125,181.240,162.161
0.258,33.424,2.400,2.400,212.144,181.223,162.126
0.259,33.474,2.378,2.378,212.167,181.205,162.084
0.260,33.535,2.358,2.358,212.194,181.186,162.034
0.261,33.606,2.340,2.340,212.227,181.164,161.974
0.262,33.689,2.324,2.324,212.265,181.139,161.905
0.263,33.778,2.311,2.311,212.307,181.112,161.831
0.263,33.872,2.301,2.301,212.351,181.083,161.753
0.264,33.968,2.292,2.292,212.397,181.053,161.675
0.265,34.061,2.284,2.284,212.442,181.023,161.598
0.266,34.151,2.278,2.278,212.487,180.994,161.526
0.267,34.233,2.271,2.271,212.528,180.965,161.461
0.268,34.306,2.263,2.263,212.567,180.938,161.406
0.269,34.365,2.254,2.254,212.600,180.914,161.363
0.270,34.410,2.243,2.243,212.626,180.892,161.335
0.271,34.438,2.229,2.229,212.646,180.874,161.324
0.271,34.457,2.211,2.211,212.657,180.859,161.327
0.272,34.476,2.189,2.189,212.660,180.846,161.340
0.273,34.497,2.162,2.162,212.655,180.833,161.356
0.274,34.521,2.131,2.131,212.641,180.819,161.369
0.275,34.549,2.096,2.096,212.619,180.801,161.374
0.276,34.588,2.059,2.059,212.588,180.780,161.363
0.277,34.645,2.021,2.021,212.549,180.753,161.332
0.278,34.727,1.983,1.983,212.501,180.720,161.275
0.279,34.841,1.947,1.947,212.444,180.677,161.185
0.279,34.994,1.913,1.913,212.378,180.625,161.057
0.280,35.193,1.883,1.883,212.304,180.562,160.885
0.281,35.436,1.859,1.859,212.221,180.488,160.668
0.282,35.717,1.840,1.840,212.133,180.406,160.414
0.283,36.028,1.830,1.830,212.043,180.320,160.130
0.284,36.359,1.827,1.827,211.952,180.231,159.823
0.285,36.704,1.832,1.832,211.864,180.143,159.501
0.286,37.054,1.843,1.843,211.782,180.060,159.172
0.287,37.400,1.860,1.860,211.707,179.984,158.843
0.288,37.735,1.882,1.882,211.643,179.918,158.520
0.288,38.051,1.908,1.908,211.593,179.865,158.213
0.289,38.341,1.938,1.938,211.558,179.829,157.928
0.290,38.597,1.970,1.970,211.542,179.811,157.672
0.291,38.819,2.004,2.004,211.546,179.815,157.450
0.292,39.012,2.039,2.039,211.567,179.836,157.260
0.293,39.182,2.074,2.074,211.603,179.873,157.098
0.294,39.336,2.108,2.108,211.652,179.923,156.960
0.295,39.480,2.141,2.141,211.710,179.982,156.843
0.296,39.615,2.174,2.174,211.776,180.048,156.744
0.296,39.746,2.207,2.207,211.845,180.118,156.659
0.297,39.871,2.239,2.239,211.917,180.188,156.584
0.298,39.990,2.271,2.271,211.987,180.257,156.517
0.299,40.103,2.303,2.303,212.054,180.322,156.453
0.300,40.208,2.334,2.334,212.115,180.379,156.390
0.301,40.305,2.366,2.366,212.168,180.426,156.324
0.302,40.395,2.399,2.399,212.213,180.463,156.255
0.303,40.480,2.431,2.431,212.253,180.492,156.185
0.304,40.561,2.464,2.464,212.288,180.512,156.115
0.304,40.639,2.498,2.498,212.320,180.526,156.046
0.305,40.714,2.531,2.531,212.351,180.533,155.978
0.306,40.786,2.564,2.564,212.382,180.535,155.913
0.307,40.856,2.597,2.597,212.415,180.531,155.852
0.308,40.923,2.630,2.630,212.451,180.524,155.794
0.309,40.989,2.661,2.661,212.491,180.514,155.743
0.310,41.055,2.691,2.691,212.537,180.501,155.698
0.311,41.122,2.720,2.720,212.590,180.487,155.660
0.312,41.193,2.746,2.746,212.651,180.471,155.627
0.313,41.269,2.771,2.771,212.717,180.452,155.596
0.313,41.351,2.794,2.794,212.789,180.431,155.562
0.314,41.440,2.814,2.814,212.865,180.405,155.524
0.315,41.537,2.833,2.833,212.945,180.376,155.477
0.316,41.643,2.851,2.851,213.027,180.341,155.419
0.317,41.762,2.869,2.869,213.110,180.301,155.345
0.318,41.895,2.887,2.887,213.195,180.255,155.252
0.319,42.047,2.905,2.905,213.279,180.201,155.138
0.320,42.220,2.926,2.926,213.361,180.141,154.998
0.321,42.419,2.949,2.949,213.442,180.072,154.830
0.321,42.643,2.974,2.974,213.520,179.995,154.635
0.322,42.887,3.003,3.003,213.595,179.911,154.419
0.323,43.146,3.037,3.037,213.667,179.818,154.188
0.324,43.415,3.075,3.075,213.735,179.718,153.947
0.325,43.690,3.117,3.117,213.799,179.611,153.702
0.326,43.966,3.162,3.162,213.858,179.496,153.458
0.327,44.237,3.210,3.210,213.913,179.374,153.222
0.328,44.499,3.260,3.260,213.963,179.246,152.999
0.329,44.748,3.310,3.310,214.008,179.111,152.795
0.329,44.980,3.360,3.360,214.046,178.970,152.615
0.330,45.193,3.410,3.410,214.079,178.822,152.465
0.331,45.388,3.458,3.458,214.106,178.670,152.346
0.332,45.568,3.503,3.503,214.130,178.516,152.256
0.333,45.736,3.546,3.546,214.151,178.363,152.190
0.334,45.892,3.584,3.584,214.171,178.215,152.144
0.335,46.038,3.618,3.618,214.193,178.074,152.115
0.336,46.171,3.649,3.649,214.218,177.944,152.100
0.337,46.292,3.677,3.677,214.248,177.827,152.093
0.338,46.398,3.702,3.702,214.283,177.727,152.092
0.338,46.490,3.725,3.725,214.327,177.646,152.092
0.339,46.569,3.746,3.746,214.381,177.589,152.090
0.340,46.641,3.765,3.765,214.446,177.557,152.083
0.341,46.720,3.783,3.783,214.522,177.552,152.067
0.342,46.810,3.801,3.801,214.608,177.570,152.044
0.343,46.912,3.819,3.819,214.700,177.605,152.017
0.344,47.023,3.837,3.837,214.794,177.654,151.987
0.345,47.138,3.855,3.855,214.888,177.712,151.955
0.346,47.252,3.873,3.873,214.979,177.774,151.924
0.346,47.360,3.889,3.889,215.063,177.834,151.896
0.347,47.455,3.904,3.904,215.138,177.890,151.872
0.348,47.534,3.917,3.917,215.199,177.935,151.854
0.349,47.590,3.926,3.926,215.245,177.966,151.844
0.350,47.619,3.932,3.932,215.272,177.977,151.844
0.351,47.636,3.933,3.933,215.277,177.965,151.855
0.352,47.679,3.929,3.929,215.264,177.930,151.875
0.353,47.747,3.919,3.919,215.233,177.874,151.901
0.354,47.840,3.903,3.903,215.190,177.798,151.931
0.354,47.952,3.879,3.879,215.136,177.703,151.961
0.355,48.083,3.851,3.851,215.074,177.592,151.989
0.356,48.227,3.820,3.820,215.008,177.466,152.011
0.357,48.384,3.788,3.788,214.940,177.325,152.026
0.358,48.551,3.757,3.757,214.873,177.172,152.031
0.359,48.727,3.728,3.728,214.810,177.009,152.021
0.360,48.911,3.706,3.706,214.754,176.835,151.996
0.361,49.104,3.690,3.690,214.708,176.653,151.952
0.362,49.309,3.683,3.683,214.670,176.461,151.889
0.363,49.531,3.688,3.688,214.641,176.256,151.810
0.363,49.773,3.706,3.706,214.619,176.035,151.715
0.364,50.036,3.739,3.739,214.602,175.795,151.607
0.365,50.325,3.788,3.788,214.588,175.533,151.487
0.366,50.640,3.852,3.852,214.577,175.246,151.356
0.367,50.984,3.932,3.932,214.567,174.932,151.216
0.368,51.360,4.026,4.026,214.556,174.587,151.068
0.369,51.768,4.135,4.135,214.544,174.209,150.915
0.370,52.212,4.258,4.258,214.528,173.794,150.757
0.371,52.693,4.395,4.395,214.508,173.341,150.596
0.371,53.208,4.546,4.546,214.484,172.853,150.435
0.372,53.745,4.711,4.711,214.458,172.342,150.274
0.373,54.294,4.888,4.888,214.431,171.816,150.116
0.374,54.845,5.079,5.079,214.405,171.288,149.964
0.375,55.387,5.280,5.280,214.382,170.766,149.818
0.376,55.910,5.489,5.489,214.364,170.261,149.681
0.377,56.404,5.700,5.700,214.353,169.784,149.555
0.378,56.858,5.910,5.910,214.350,169.344,149.442
0.379,57.261,6.115,6.115,214.357,168.953,149.344
0.379,57.605,6.311,6.311,214.376,168.620,149.263
0.380,57.879,6.493,6.493,214.409,168.355,149.200
0.381,58.083,6.658,6.658,214.455,168.161,149.155
0.382,58.228,6.802,6.802,214.512,168.032,149.122
0.383,58.330,6.920,6.920,214.578,167.958,149.096
0.384,58.411,7.008,7.008,214.650,167.933,149.070
0.385,58.494,7.065,7.065,214.725,167.948,149.039
0.386,58.593,7.092,7.092,214.802,167.996,148.998
0.387,58.713,7.094,7.094,214.877,168.069,148.940
0.388,58.853,7.075,7.075,214.947,168.160,148.860
0.388,59.013,7.038,7.038,215.012,168.259,148.752
0.389,59.195,6.987,6.987,215.066,168.360,148.610
0.390,59.404,6.926,6.926,215.110,168.455,148.430
0.391,59.642,6.858,6.858,215.140,168.538,148.208
0.392,59.909,6.788,6.788,215.158,168.610,147.952
0.393,60.197,6.719,6.719,215.166,168.671,147.670
0.394,60.502,6.654,6.654,215.167,168.722,147.370
0.395,60.816,6.599,6.599,215.160,168.764,147.059
0.396,61.132,6.551,6.551,215.149,168.798,146.745
0.396,61.442,6.512,6.512,215.135,168.824,146.437
0.397,61.738,6.479,6.479,215.119,168.843,146.142
0.398,62.012,6.452,6.452,215.104,168.857,145.868
0.399,62.258,6.430,6.430,215.091,168.865,145.623
0.400,62.466,6.412,6.412,215.081,168.869,145.415
0.401,62.631,6.397,6.397,215.077,168.869,145.250
0.402,62.754,6.384,6.384,215.077,168.866,145.126
